sample	round	prj	nCtg	nPath	cov	signal	annotatedRatio
rand.82	3	See_sars_2023	609	9	100	11.116655259955	53.3132804321109
rand.83	3	See_sars_2023	214	1	100	25.5987614192356	52.2274979593245
rand.84	3	See_sars_2023	395	1	100	15.5103400558645	52.3991216363769
rand.85	3	See_sars_2023	355	1	100	16.9557560210432	51.6014647418631
rand.86	3	See_sars_2023	127	34	100	54.4139858027488	71.1946768270797
rand.87	3	See_sars_2023	58	1	100	58.4391234717394	51.8796992481203
rand.88	3	See_sars_2023	418	3	100	15.2281911633539	51.3966119229277
rand.89	3	See_sars_2023	732	17	100	10.4806516839611	59.0122290215165
rand.9	3	See_sars_2023	718	47	100	14.3086117489621	59.224345073097
rand.90	3	See_sars_2023	367	5	100	17.6546013240245	53.7909604132226
rand.91	3	See_sars_2023	308	1	100	17.5488102501525	52.4487167628413
rand.92	3	See_sars_2023	414	2	100	14.8169398103196	57.3056929196866
rand.93	3	See_sars_2023	188	1	100	28.913628602024	50.8264799283446
rand.94	3	See_sars_2023	73	1	99.8562017188911	51.4960765715271	50.8586666666667
rand.95	3	See_sars_2023	354	20	100	21.1134429819559	53.9168341454246
rand.96	3	See_sars_2023	444	35	100	20.7136721813497	51.8469890016721
rand.97	3	See_sars_2023	133	6	100	37.2231886783582	89.7955362492511
rand.98	3	See_sars_2023	1382	1	100	4.88765501130541	77.2078067876615
rand.99	3	See_sars_2023	177	2	100	30.1488968590371	73.0087556756298
rand.1	3	See_sars_2023_mock	92	14	100	55.1756694010215	88.4568903007493
rand.10	3	See_sars_2023_mock	15	1	100	85.5406943653956	49.8720724266877
rand.100	3	See_sars_2023_mock	41	1	100	60.2955051894084	85.5293760744261
rand.11	3	See_sars_2023_mock	105	1	100	42.316173352557	94.3982944938616
rand.12	3	See_sars_2023_mock	119	5	100	43.8925115255223	83.344437041972
rand.13	3	See_sars_2023_mock	87	1	100	47.8203961755176	77.4212297338636
rand.14	3	See_sars_2023_mock	23	1	100	80.0518619509717	77.1374966496918
rand.15	3	See_sars_2023_mock	56	12	100	68.4190725119797	78.832528685184
rand.16	3	See_sars_2023_mock	104	6	100	46.8112244897959	88.2412252016569
rand.17	3	See_sars_2023_mock	34	16	100	84.4984022578313	74.2401444477882
rand.18	3	See_sars_2023_mock	99	14	100	53.0844613126566	80.2780850055301
rand.19	3	See_sars_2023_mock	86	36	100	70.5937524839043	74.4891339604281
rand.2	3	See_sars_2023_mock	807	9	100	9.67267186674862	90.0716900841496
rand.20	3	See_sars_2023_mock	70	8	100	59.4273655596688	85.9346762463085
rand.21	3	See_sars_2023_mock	161	32	100	47.945750987018	83.3424406023912
rand.22	3	See_sars_2023_mock	24	2	100	79.8351199726078	77.7037617554859
rand.23	3	See_sars_2023_mock	579	4	100	12.4615415232144	91.792157718609
